# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,装填速度,晃动偏移,反动大小,射速,可用配件1,可用配件2,可用配件3,配件3参数,可用配件4,可用子弹1,子弹1装填数量,子弹1发射类型,子弹1后坐力,可用子弹2,子弹2装填数量,子弹2发射类型,子弹2后坐力,可用子弹3,子弹3装填数量,子弹3发射类型,子弹3后坐力,可用子弹4,子弹4装填数量,子弹4发射类型,子弹4后坐力,可用子弹5,子弹5装填数量,子弹5发射类型,子弹5后坐力,可用子弹6,子弹6装填数量,子弹6发射类型,子弹6后坐力,可用子弹7,子弹7装填数量,子弹7发射类型,子弹7后坐力,可用子弹8,子弹8装填数量,子弹8发射类型,子弹8后坐力,可用子弹9,子弹9装填数量,子弹9发射类型,子弹9后坐力,可用子弹10,子弹10装填数量,子弹10发射类型,子弹10后坐力,可用子弹11,子弹11装填数量,子弹11发射类型,子弹11后坐力,可用子弹12,子弹12装填数量,子弹12发射类型,子弹12后坐力,可用子弹13,子弹13装填数量,子弹13发射类型,子弹13后坐力,可用子弹14,子弹14装填数量,子弹14发射类型,子弹14后坐力,可用子弹15,子弹15装填数量,子弹15发射类型,子弹15后坐力,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
51121,凰晓,,1,5,ep_nb3_08,1,1,1,2,1,5,2,0,0,1,0,0,150000,750,0,0,0,,350013,350013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,124,0,-8,0,0,0,0,0,0,0,0,4000000,4000000,4000000,300,0,0,0,0,124,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,6,,小,通常弹2级,6,速射2发,小,散弹2级,6,,小,彻甲榴弹1级,3,,小,灭龙弹,6,速射2发,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,10122,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,3.66,,,,,,3.66,,,,,,,,,,,,,,
51131,Outcry,,1,4,ep_hls_08,1,1,1,2,1,5,2,0,0,1,0,0,10000,50,0,0,0,,350066,350066,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,2,10,118,0,0,0,0,0,0,0,0,0,0,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,6,速射2发,小,通常弹2级,6,,中,散弹1级,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,10130,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,4.11,,,,,,,,,,,,,,,,,,,,
51132,Brassflint,,1,4,ep_lx_08,1,1,1,2,1,5,2,0,0,1,0,0,10000,50,0,0,0,,350067,350067,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,116,0,8,0,0,0,0,0,0,0,0,4000000,4000000,4000000,300,0,116,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,慢,,,100,,,,,,通常弹1级,5,,小,通常弹2级,5,,小,散弹1级,4,,小,水冷弹,4,,小,贯通弹1级,5,,中,贯通弹2级,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,10124,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,4.04,,,4.04,,,,,,,,,,,,,,,,,
51133,虚无伞铳+蓄能枪管,外形特殊的重弩，结构突出的枪身装填特殊子弹后能发挥额外的效力。,50,3,ep_wjx_08,1,1,1,2,1,5,2,0,0,1,0,0,225000,2250,0,0,0,,350026,350026,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,149,0,10,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,149,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,慢,,,100,,,,,,通常弹1级,9,,小,通常弹2级,8,,小,通常弹3级,8,蓄力,小,散弹1级,6,,小,散弹2级,6,蓄力,小,散弹3级,5,蓄力,中,彻甲榴弹1级,3,,小,冰结弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,,,,,,,,,,,,,,,,,,,,,
51134,岩加农晶雨+蓄能枪管,枪口激射的剧烈声响，让人回忆起小时候担惊受怕的雷雨之夜,50,3,ep_yl_08,1,1,1,2,1,5,2,0,0,1,0,0,225000,2250,0,0,0,,350068,350068,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,171,0,-20,0,0,0,0,0,0,0,0,0,0,0,300,0,0,171,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,9,蓄力,小,通常弹2级,8,,小,散弹1级,6,,小,散弹2级,6,,小,散弹3级,5,蓄力,大,贯通弹1级,6,蓄力,中,贯通弹2级,6,,中,火焰弹,6,,小,致眠弹,6,,中,猛毒弹,6,,中,,,,,,,,,,,,,,,,,,,,,10,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,,,,,,,,,,,,,,,,,,,,,
51135,冬眠狙击手+速射枪管,使用银眠鸟素材打造的弩炮，进阶的猎人使用更为顺手。,50,3,ep_ymn_08,1,1,1,2,1,5,2,0,0,1,0,0,225000,2250,0,0,0,,350211,350211,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,151,0,7,0,0,0,0,0,0,0,0,0,0,0,300,0,151,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,9,,小,通常弹2级,8,,小,通常弹3级,8,速射2发,小,贯通弹1级,6,速射2发,小,贯通弹2级,6,速射2发,中,贯通弹3级,5,,小,水冷弹,6,,小,致眠弹,6,,小,麻痹弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,10,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,,,,,,,,,,,,,,,,,,,,,
51136,Sullencry【Sire】,,1,4,ep_hln_08,1,1,1,2,1,5,2,0,0,1,0,0,10000,50,0,0,0,,350019,350019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,1,10,109,0,-7,0,0,0,0,0,0,0,0,4000000,4000000,4000000,300,0,0,109,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,6,,小,通常弹2级,4,蓄力,中,通常弹3级,3,,大,散弹1级,4,,中,贯通弹1级,4,,中,彻甲榴弹1级,3,,大,火焰弹,7,,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,10128,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,3.79,,,,3.79,,,,,,,,,,,,,,,,
51137,Arcticbuster,,1,4,ep_bln_08,1,1,1,2,1,5,2,0,0,1,0,0,10000,50,0,0,0,,350207,350207,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,117,0,-10,0,0,0,0,0,0,0,0,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,6,,小,通常弹2级,4,蓄力,中,通常弹3级,3,,大,散弹1级,4,,中,贯通弹1级,4,,中,彻甲榴弹1级,3,,大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,10125,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,4.07,,,,,,,,,,,,,,,,,,,,
51151,Lavish Gun,,1,5,ep_yjl_08,1,1,1,2,1,5,2,0,0,1,0,0,150000,750,0,0,0,,350020,350020,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,115,0,0,0,0,0,0,0,0,0,0,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,10,,小,通常弹2级,8,,小,通常弹3级,8,蓄力,中,散弹1级,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,10133,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,3.42,,,,,,,,,,,,,,,,,,,,
51152,赤鬼射手+速射枪管,集合了最尖端技术的弩炮，机身搭载液压水冷系统，防止枪管过热,55,3,ep_yjl_08,1,1,1,2,1,5,2,0,0,1,0,0,300000,3000,0,0,0,,350069,350069,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,170,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,10,,小,通常弹3级,8,,中,散弹1级,6,,中,散弹2级,6,速射3发,中,散弹3级,6,速射3发,大,贯通弹1级,6,,中,彻甲榴弹1级,3,速射3发,大,麻痹弹,6,,大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,,,,,,,,,,,,,,,,,,,,,
51153,电磁注射,,1,5,ep_hdl_08,1,1,1,2,1,5,2,0,0,1,0,0,150000,750,0,0,0,,350206,350206,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,1,10,145,0,-7,0,0,0,0,0,0,0,0,4000000,4000000,4000000,300,0,0,0,145,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,6,,小,通常弹2级,4,蓄力,中,通常弹3级,3,,大,散弹1级,4,,中,贯通弹1级,4,,中,彻甲榴弹1级,3,,大,电击弹,7,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,10132,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,4.3,,,,,4.3,,,,,,,,,,,,,,,
51154,怒鸟【狼】+速射枪管,握起这把弩的时候，你能感觉到自己与它的羁绊，比命运更强烈,55,3,ep_hln_08,1,1,1,2,1,5,2,0,0,1,0,0,300000,3000,0,0,0,,350070,350070,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,173,0,-7,0,0,0,0,0,0,0,0,0,0,0,300,0,0,173,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,10,,小,通常弹2级,8,,小,通常弹3级,8,速射3发,中,散弹1级,6,速射3发,中,散弹2级,6,,小,贯通弹1级,6,速射3发,中,贯通弹2级,6,速射3发,大,猛毒弹,6,,中,麻痹弹,6,,中,火焰弹,6,,小,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,,,,,,,,,,,,,,,,,,,,,
51155,Flamecry,,1,5,ep_chl_08,1,1,1,2,1,5,2,0,0,1,0,0,150000,750,0,0,0,,350021,350021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,147,0,0,0,0,0,0,0,0,0,0,4000000,4000000,4000000,300,0,0,147,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,6,,小,通常弹2级,4,蓄力,中,通常弹3级,3,,大,散弹1级,4,,中,贯通弹1级,4,,中,彻甲榴弹1级,3,,小,火焰弹,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,10135,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,4.35,,,,4.35,,,,,,,,,,,,,,,,
51156,业炎雷霆+蓄能枪管,威力惊人的凶器，使用它必须携带专门的执照，否则会被当做罪犯抓起来,55,3,ep_chl_08,1,1,1,2,1,5,2,0,0,1,0,0,300000,3000,0,0,0,,350071,350071,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,170,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,170,170,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,慢,,,100,,,,,,通常弹1级,10,蓄力,小,通常弹2级,8,蓄力,小,贯通弹1级,6,,小,贯通弹2级,6,蓄力,中,散弹1级,6,,小,散弹2级,6,蓄力,小,散弹3级,6,,小,火焰弹,6,,小,电击弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,,,,,,,,,,,,,,,,,,,,,
51157,黯晓+蓄能枪管,遥远古国的至宝弩炮，因其可怕的破坏力，与另一把弩炮共被视为镇国之宝。,55,3,ep_hxl_08,1,1,1,2,1,5,2,0,0,1,0,0,300000,3000,0,0,0,,350209,350209,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,164,0,10,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,164,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,10,,小,通常弹2级,8,蓄力,中,散弹1级,6,,中,散弹2级,6,蓄力,中,散弹3级,6,,大,彻甲榴弹1级,3,,大,彻甲榴弹2级,3,蓄力,大,电击弹,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,,,,,,,,,,,,,,,,,,,,,
51158,神机火+速射枪管,设计极为巧妙的古代机关，工匠们充分利用了砦蟹素材的高硬度性能，散热效能优秀。,55,3,ep_lsx_08,1,1,1,2,1,5,2,0,0,1,0,0,300000,3000,0,0,0,,350022,350022,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,190,0,-17,0,0,0,0,0,0,0,0,0,0,0,300,0,185,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,慢,,,100,,,,,,通常弹1级,10,,小,通常弹2级,8,速射3发,小,通常弹3级,8,,小,贯通弹1级,6,速射3发,小,贯通弹2级,6,速射3发,中,贯通弹3级,6,,中,彻甲榴弹1级,3,,中,彻甲榴弹2级,3,,中,水冷弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,,,,,,,,,,,,,,,,,,,,,
51159,Regalborn,,1,6,ep_nb4_08,1,1,1,2,1,5,2,0,0,1,0,0,200000,1000,0,0,0,,350018,350018,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,121,0,-8,0,0,0,0,0,0,0,0,4000000,4000000,4000000,300,0,0,0,0,121,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,6,,小,通常弹2级,8,,小,通常弹3级,8,蓄力,中,散弹1级,6,,小,散弹2级,6,,小,贯通弹1级,6,蓄力,大,贯通弹2级,6,,大,灭龙弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,10139,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,3.13,,,,,,3.13,,,,,,,,,,,,,,
51160,神机火元戎+蓄能枪管,设计极为巧妙的古代机关，工匠们充分利用了砦蟹独行种素材的高硬度性能，散热效能优秀。,65,3,ep_lsx2_08,1,1,1,2,1,5,2,0,0,1,0,0,600000,6000,0,0,0,,350283,350283,65,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,194,0,10,0,0,0,0,0,0,0,0,0,0,0,300,0,0,194,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,慢,,,100,,,,,,通常弹1级,10,,小,通常弹2级,8,,小,通常弹3级,8,蓄力,小,散弹1级,6,蓄力,小,散弹2级,6,蓄力,小,散弹3级,6,,中,彻甲榴弹1级,3,,中,彻甲榴弹2级,3,,中,火焰弹,6,,小,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,505,69,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,,,,,,,,,,,,,,,,,,,,,
51161,Frostone,,1,5,ep_nbx_08,1,1,1,2,1,5,2,0,0,1,0,0,150000,750,0,0,0,,350072,350072,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,148,0,0,0,0,0,0,0,0,0,0,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,6,,小,通常弹2级,4,蓄力,中,通常弹3级,3,,大,散弹1级,4,,中,贯通弹1级,4,,中,彻甲榴弹1级,3,,大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,10144,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,4.38,,,,,,,,,,,,,,,,,,,,
51162,荧煌启辉器+速射枪管,灌注了雷电意志的电甲虫弩炮，机巧的点火装置操作起来十分便利。,60,3,ep_nby_08,1,1,1,2,1,5,2,0,0,1,0,0,400000,4000,0,0,0,,350073,350073,60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,1,0,0,10,185,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,185,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,10,,小,通常弹2级,8,,小,通常弹3级,8,速射3发,小,散弹1级,6,,小,散弹2级,6,速射3发,小,散弹3级,6,速射3发,中,电击弹,6,速射3发,小,麻痹弹,6,,中,猛毒弹,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85;90;95;100;105;110;115;120;2075;2010;2020;2030;2040;2050;2060;2070;2080;2090;2095;2100;2105;2110;2115;2120;2125;2130;2135;2140;2145;2150;2155;2160;2165;2170;2175;2180,,,,,,,,,,,,,,,,,,,,,
401020,超电导弩炮,7天时装武器<BR>狩猎天团“暴走红莲”第一弩炮手的专用弩炮。追求最大火力进行了极限改装，一般的射手无法自如的掌握。弩身燃烧的红色烈焰，彰显出“红莲”的意志。,1,4,ep_ma007_n,1,1,1,2,5,5,2,0,0,1,0,0,99999,1,1,0,604800,,350289,350289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,99,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401021,超电导弩炮,30天时装武器<BR>狩猎天团“暴走红莲”第一弩炮手的专用弩炮。追求最大火力进行了极限改装，一般的射手无法自如的掌握。弩身燃烧的红色烈焰，彰显出“红莲”的意志。,1,4,ep_ma007_n,1,1,1,2,5,5,2,0,0,1,0,0,99999,1,1,0,2592000,,350289,350289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,99,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
