# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,副本中使用次数,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,随机狩猎奖励点,解绑道具,解绑道具数量
975,称号『天上天下天地无双狩神』,"""<FONT COLOR=\""\#68A16A\"" >Use：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:在狩神修罗场中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天上天下天地无双狩神。<BR></FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,188,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,975,,,,,,,,,,,,,,,,,,,,,,,,,,
976,称号『天上天下无双狩神』,"""<FONT COLOR=\""\#68A16A\"" >Use：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:在狩神修罗场中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天上天下无双狩神。<BR></FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,189,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,976,,,,,,,,,,,,,,,,,,,,,,,,,,
977,称号『天上无双狩神』,"""<FONT COLOR=\""\#68A16A\"" >Use：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:在狩神修罗场中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天上无双狩神。<BR></FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,190,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,977,,,,,,,,,,,,,,,,,,,,,,,,,,
978,称号『天下无双狩神』,"""<FONT COLOR=\""\#68A16A\"" >Use：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:在狩神修罗场中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天下无双狩神。<BR></FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,191,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,978,,,,,,,,,,,,,,,,,,,,,,,,,,
979,称号『无双狩神』,"""<FONT COLOR=\""\#68A16A\"" >Use：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:在狩神修罗场中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：无双狩神。<BR></FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,192,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,979,,,,,,,,,,,,,,,,,,,,,,,,,,
980,称号『天地狩王·拾叁』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·拾叁</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,194,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,980,,,,,,,,,,,,,,,,,,,,,,,,,,
981,称号『天地狩王·拾肆』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·拾肆</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,195,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,981,,,,,,,,,,,,,,,,,,,,,,,,,,
982,称号『天地狩王·拾伍』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·拾伍</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,196,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,982,,,,,,,,,,,,,,,,,,,,,,,,,,
983,称号『天地狩王·拾陆』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·拾陆</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,197,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,983,,,,,,,,,,,,,,,,,,,,,,,,,,
984,称号『天地狩王·拾柒』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·拾柒</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,198,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,984,,,,,,,,,,,,,,,,,,,,,,,,,,
985,称号『天地狩王·拾捌』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·拾捌</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,199,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,985,,,,,,,,,,,,,,,,,,,,,,,,,,
986,称号『天地狩王·拾玖』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·拾玖</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,200,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,986,,,,,,,,,,,,,,,,,,,,,,,,,,
987,称号『天地狩王·贰拾』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·贰拾</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,201,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,987,,,,,,,,,,,,,,,,,,,,,,,,,,
988,称号『天地狩王·贰拾壹』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·贰拾壹</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,236,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,988,,,,,,,,,,,,,,,,,,,,,,,,,,
989,称号『天地狩王·贰拾贰』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·贰拾贰</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,237,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,989,,,,,,,,,,,,,,,,,,,,,,,,,,
990,称号『天地狩王·贰拾叁』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·贰拾叁</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,238,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,990,,,,,,,,,,,,,,,,,,,,,,,,,,
991,称号『天地狩王·贰拾肆』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·贰拾肆</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,239,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,991,,,,,,,,,,,,,,,,,,,,,,,,,,
992,称号『天地狩王·贰拾伍』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·贰拾伍</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,240,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,992,,,,,,,,,,,,,,,,,,,,,,,,,,
993,称号『天地狩王·贰拾陆』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·贰拾陆</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,241,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,993,,,,,,,,,,,,,,,,,,,,,,,,,,
994,称号『天地狩王·贰拾柒』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·贰拾柒</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,242,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,994,,,,,,,,,,,,,,,,,,,,,,,,,,
995,称号『天地狩王·贰拾捌』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·贰拾捌</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,243,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,995,,,,,,,,,,,,,,,,,,,,,,,,,,
996,称号『天地狩王·贰拾玖』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·贰拾玖</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,244,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,996,,,,,,,,,,,,,,,,,,,,,,,,,,
997,称号『天地狩王·叁拾』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·叁拾</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,245,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,997,,,,,,,,,,,,,,,,,,,,,,,,,,
998,称号『天地狩王·叁拾壹』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·叁拾壹</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,246,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,998,,,,,,,,,,,,,,,,,,,,,,,,,,
999,称号『天地狩王·叁拾贰』,"""<FONT COLOR=\""\#68A16A\"" >使用：获得对应称号</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源:天地争锋狩猎季中表现突出的猎人才能获得</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">称号卷轴。<BR>右键使用后，可以解锁称号：天地狩王·叁拾贰</FONT>""",1,1,prop_book_04,1,0,1,6,0,2,0,0,999,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,添加称号,247,0,0,播放特效,613,0,0,0,0,0,0,0,0,0,0,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,[Rumors of Estrellian],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,[The truth of Estrellian],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,[Azure Pink Heaven and Earth],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,[Big Hunting Festival],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,[Hero's Field Trial],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,[Time Changer],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,[Civilian and Hunter],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,[Shakalaka's Observe Record],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,[Shakalaka King's Place],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,[Other Town's Story],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,[Legend of Snow Mountain],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,[Royal Bachelor Team],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,[Remains of the Old King],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,[Dragon Summoning Flute],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,[Unpublished Secret 1],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,[Unpublished Secret 2],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,[Unpublished Secret 3],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,[Dream of Flying in the Sky],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,[Tradewind],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,[Tradition of Caravan],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,[Mezeporta Record],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,[The Chronicle of Millard],"""<FONT COLOR=\""\#68A16A\"" >Use：解锁对应的见闻卡片</FONT><BR>""",1,4,prop_book_04,1,0,1,6,0,2,0,0,999,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,,,,,,,,,,,,,,,,,,,,,,,,,,
